ID,group1,group2,batch
CGGA_1001,CGGA325,CGGA325,1
CGGA_1006,CGGA325,CGGA325,1
CGGA_1007,CGGA325,CGGA325,1
CGGA_1011,CGGA325,CGGA325,1
CGGA_1015,CGGA325,CGGA325,1
CGGA_1019,CGGA325,CGGA325,1
CGGA_1022,CGGA325,CGGA325,1
CGGA_1023,CGGA325,CGGA325,1
CGGA_1024,CGGA325,CGGA325,1
CGGA_1026,CGGA325,CGGA325,1
CGGA_1034,CGGA325,CGGA325,1
CGGA_1035,CGGA325,CGGA325,1
CGGA_1039,CGGA325,CGGA325,1
CGGA_1045,CGGA325,CGGA325,1
CGGA_1049,CGGA325,CGGA325,1
CGGA_1052,CGGA325,CGGA325,1
CGGA_1072,CGGA325,CGGA325,1
CGGA_1077,CGGA325,CGGA325,1
CGGA_1078,CGGA325,CGGA325,1
CGGA_1079,CGGA325,CGGA325,1
CGGA_1081,CGGA325,CGGA325,1
CGGA_1083,CGGA325,CGGA325,1
CGGA_1091,CGGA325,CGGA325,1
CGGA_1109,CGGA325,CGGA325,1
CGGA_1124,CGGA325,CGGA325,1
CGGA_1139,CGGA325,CGGA325,1
CGGA_1140,CGGA325,CGGA325,1
CGGA_1145,CGGA325,CGGA325,1
CGGA_1171,CGGA325,CGGA325,1
CGGA_1177,CGGA325,CGGA325,1
CGGA_1180,CGGA325,CGGA325,1
CGGA_1188,CGGA325,CGGA325,1
CGGA_1214,CGGA325,CGGA325,1
CGGA_1216,CGGA325,CGGA325,1
CGGA_1218,CGGA325,CGGA325,1
CGGA_1224,CGGA325,CGGA325,1
CGGA_1234,CGGA325,CGGA325,1
CGGA_1237,CGGA325,CGGA325,1
CGGA_1240,CGGA325,CGGA325,1
CGGA_1251,CGGA325,CGGA325,1
CGGA_1258,CGGA325,CGGA325,1
CGGA_1263,CGGA325,CGGA325,1
CGGA_1270,CGGA325,CGGA325,1
CGGA_1271,CGGA325,CGGA325,1
CGGA_1272,CGGA325,CGGA325,1
CGGA_1280,CGGA325,CGGA325,1
CGGA_1281,CGGA325,CGGA325,1
