Supplementary Table 2 217 genes which related to key processes in glioma patients.,,,
Gene,Key process or pathway,PMID,Training set
SIRT1,Alternative polyadenylation,35042833,TCGA
MTDH,Alternative polyadenylation,35042833,TCGA
HSPB1,Alternative polyadenylation,35042833,TCGA
HMOX1,Alternative polyadenylation,35042833,TCGA
ATG7,Alternative polyadenylation,35042833,TCGA
MTOR,Alternative polyadenylation,35042833,TCGA
PSMC5,Amino Metabolism,34804978,TCGA
GLUD1,Amino Metabolism,34804978,TCGA
DHTKD1,Amino Metabolism,34804978,TCGA
OGDH,Amino Metabolism,34804978,TCGA
PSMF1,Amino Metabolism,34804978,TCGA
PSMD3,Amino Metabolism,34804978,TCGA
PSMB9,Amino Metabolism,34804978,TCGA
PSMD5,Amino Metabolism,34804978,TCGA
PSMC1,Amino Metabolism,34804978,TCGA
PSMD6,Amino Metabolism,34804978,TCGA
CHAF1B,Autophagy,35210825,TCGA
CTSB,Autophagy,35210825,TCGA
LGALS8,Autophagy,35210825,TCGA
CASP4,Autophagy,35210825,TCGA
ANXA5,Autophagy,35210825,TCGA
DIRAS3,Autophagy,35210825,TCGA
ERBB2,Autophagy,35210825,TCGA
NAMPT,Autophagy,35210825,TCGA
VEGFA,Autophagy,35210825,TCGA
TREM1,Autophagy,35210825,TCGA
KCNK3,Autophagy,35210825,TCGA
BID,Autophagy,35210825,TCGA
CDKN2A,Autophagy,34869322,CGGA693
MAPK8IP1,Autophagy,34790823,TCGA
EEF2,Autophagy,34790823,TCGA
GRID2,Autophagy,34790823,TCGA
BIRC5,Autophagy,34790823,TCGA
DLC1,Autophagy,34790823,TCGA
TP73,Autophagy,34790823,TCGA
BAG1,Autophagy,34721517,TCGA
PTK6,Autophagy,34721517,TCGA
PEA15,Autophagy,34721517,TCGA
ITGA6,Autophagy,34721517,TCGA
MAP1LC3C,Autophagy,34721517,TCGA
GABARAP,Autophagy,34869322,CGGA693
ATG5,Autophagy,34609723,TCGA
BCL2L1,Autophagy,34609723,TCGA
GAPDH,Autophagy,34609723,TCGA
CDC25A,DNA Damage Repair,34992431,TCGA+GTEx
CDC5L,DNA Damage Repair,34992431,TCGA+GTEx
ERCC5,DNA Damage Repair,34992431,TCGA+GTEx
GADD45G,DNA Damage Repair,34992431,TCGA+GTEx
PARP4,DNA Damage Repair,34992431,TCGA+GTEx
RECQL,DNA Damage Repair,34992431,TCGA+GTEx
RPA1,DNA Damage Repair,34992431,TCGA+GTEx
RRM1,DNA Damage Repair,34992431,TCGA+GTEx
TOP3B,DNA Damage Repair,34992431,TCGA+GTEx
WEE1,DNA Damage Repair,34992431,TCGA+GTEx
FYN,Endocytosis,34552618,TCGA+GTEx
SNAP25,Endocytosis,34552618,TCGA+GTEx
ABCA5,Endocytosis,34552618,TCGA+GTEx
CTSS,Endocytosis,34552618,TCGA+GTEx
CLIC4,Endocytosis,34552618,TCGA+GTEx
TOM1L1,Endocytosis,34552618,TCGA+GTEx
S100A9,Endocytosis,34552618,TCGA+GTEx
INPP5F,Endocytosis,34552618,TCGA+GTEx
