id,HR,HR.95L,HR.95H,pvalue
IGFBP2,1.575916164,1.481843351,1.675961061,1.54E-47
GLUD1,0.334263643,0.285145026,0.391843353,1.30E-41
MAPT,0.607272318,0.563535569,0.654403535,4.36E-39
PLAT,1.621944386,1.508030814,1.744462757,9.83E-39
CASP4,2.111800652,1.886430006,2.364096192,1.53E-38
WEE1,2.191115224,1.946106297,2.466970037,1.93E-38
MAP1LC3C,1.563819665,1.461568179,1.673224677,2.07E-38
TNFRSF12A,1.730081954,1.590969726,1.881357965,1.32E-37
ABCC3,1.362246203,1.299328004,1.42821113,1.39E-37
RFC2,3.554247656,2.924208874,4.320032167,3.62E-37
LGALS3,1.63377233,1.514602367,1.762318668,5.67E-37
TNFRSF11B,1.567405944,1.461909456,1.680515427,1.24E-36
LARP4B,0.220623899,0.174157838,0.279487305,5.46E-36
BMP2,0.549081881,0.499720533,0.60331904,1.04E-35
NAMPT,1.777671259,1.622308634,1.947912401,6.29E-35
S100A11,1.937033859,1.743731637,2.151764694,6.56E-35
SIRT1,0.201408365,0.155839193,0.260302487,1.81E-34
ANXA5,2.339038542,2.041123867,2.680435709,2.30E-34
RAP2A,0.343155263,0.288708116,0.407870539,6.99E-34
COL1A2,1.47280741,1.382881538,1.568580973,2.06E-33
VEGFA,1.535906598,1.4320523,1.647292545,3.03E-33
CASP6,2.56034954,2.196079516,2.985042081,3.28E-33
RPL3,0.220649348,0.172401484,0.282399744,3.40E-33
FMOD,1.370993551,1.301953503,1.443694658,5.16E-33
HSPB1,2.216725071,1.945552346,2.525694079,5.98E-33
DIRAS3,1.697230585,1.555000962,1.852469375,2.25E-32
TREM1,1.393899987,1.319204603,1.472824738,3.14E-32
CHAF1B,2.020121733,1.797435306,2.27039705,3.92E-32
DHTKD1,0.296051988,0.241671989,0.362668341,6.66E-32
CTSB,2.725383747,2.304480778,3.223162735,1.08E-31
CASP3,2.586020098,2.204938382,3.03296455,1.59E-31
MSR1,1.730109255,1.577306646,1.897714717,3.27E-31
TNFSF14,1.657855483,1.522144334,1.80566635,4.06E-31
TOM1L1,1.613679528,1.488336668,1.749578355,4.17E-31
CASP8,2.400444983,2.070097872,2.783509029,4.54E-31
BCAT1,1.623670074,1.495210624,1.763165983,9.79E-31
COL4A1,1.555025348,1.441346605,1.677669914,4.25E-30
SHANK2,0.717798402,0.677892798,0.760053134,6.52E-30
TNFRSF14,2.253538837,1.958389469,2.593170242,7.94E-30
ERCC5,0.271863748,0.21666458,0.34112589,2.37E-29
TUBA1B,2.775740041,2.322850656,3.316929893,2.79E-29
BGN,1.802258943,1.625038098,1.998806859,6.88E-29
PDLIM1,1.652400253,1.51243952,1.805312914,9.81E-29
EFNB1,2.350520307,2.021854659,2.732612697,9.92E-29
PEA15,0.435199184,0.375700922,0.504119949,1.38E-28
CHI3L2,1.371223883,1.296480523,1.450276269,2.46E-28
MCM2,2.032554774,1.791097736,2.306562521,4.14E-28
GATA4,1.291615405,1.233730582,1.352216099,7.54E-28
BIRC5,1.528592174,1.415871084,1.650287276,1.84E-27
FASN,0.477816936,0.418119823,0.546037312,2.09E-27
RRM2,1.656278039,1.511665536,1.814724804,2.63E-27
HMOX1,1.809701155,1.624368742,2.016179075,5.30E-27
SSTR2,0.625709995,0.574324941,0.681692488,7.85E-27
FABP5,1.498185804,1.391040658,1.613583823,1.29E-26
TNR,0.783224967,0.748758447,0.819278035,1.92E-26
MELK,1.585675935,1.4560611,1.726828752,3.12E-26
MAPK10,0.537495784,0.479129418,0.602972198,3.48E-26
CYP2E1,0.627190513,0.575125889,0.68396841,5.05E-26
FGF13,0.715745739,0.672332975,0.76196168,1.12E-25
HSPA5,3.335391896,2.65838292,4.18481439,2.31E-25
ACTN1,1.698033756,1.535872202,1.877316766,4.70E-25
CD70,1.342772,1.269644922,1.42011094,5.98E-25
COL1A1,1.337901101,1.265810276,1.414097665,7.00E-25
SCD5,0.549931392,0.490696345,0.616317074,8.37E-25
PSMD12,9.170796969,6.00737077,14.00005431,9.92E-25
TNC,1.75984309,1.578727261,1.961737013,1.97E-24
LGALS8,3.133991151,2.51575849,3.904150805,2.22E-24
KCNK3,0.692792012,0.645545035,0.743496961,2.33E-24
PSMB8,2.0303993,1.771545685,2.327075928,2.48E-24
SSTR5,0.489985522,0.426894561,0.562400729,3.53E-24
S100A9,1.416886264,1.324163386,1.516101945,6.05E-24
GAPDH,2.687089291,2.217018435,3.256828516,7.14E-24
NCOA4,0.234724201,0.176934086,0.311389693,9.12E-24
LUM,1.393012084,1.3056022,1.486274046,1.18E-23
S100A13,1.80544993,1.608359882,2.026691593,1.28E-23
PSMB9,1.862304553,1.648325736,2.104061213,1.77E-23
PIK3R1,0.476629628,0.411775218,0.551698577,3.09E-23
KMO,1.511321473,1.39268095,1.640068815,4.13E-23
PHF21A,0.282076978,0.219478281,0.362529819,4.82E-23
RIN1,1.762557067,1.57418892,1.973465431,8.51E-23
RUNX1T1,0.647397967,0.593512827,0.706175348,1.06E-22
PSMD9,3.695045352,2.844600007,4.799746932,1.20E-22
GCLC,0.393466189,0.326429215,0.474270177,1.27E-22
CHRNA1,1.286266791,1.222718495,1.353117879,2.07E-22
CTSZ,2.025133985,1.7570065,2.33417899,2.08E-22
BRCA1,2.461366603,2.053226293,2.950637041,2.10E-22
GRIK2,0.708342048,0.660696556,0.759423447,2.84E-22
EEF2,0.303576243,0.238161815,0.386957645,6.10E-22
TGFBI,1.454412084,1.347417022,1.569903361,7.36E-22
PSMD14,3.776181618,2.877910955,4.954825857,9.09E-22
PSMD5,4.343633136,3.215936901,5.866765859,1.00E-21
HDAC1,3.060927475,2.432723573,3.851352908,1.36E-21
DPEP1,1.300101821,1.231446456,1.372584846,2.52E-21
IL2RG,1.723377956,1.539972421,1.928626474,2.53E-21
ELN,1.773193843,1.574946834,1.996395267,2.83E-21
PKP4,0.407310254,0.338066856,0.490736197,3.46E-21
VAMP8,1.713080102,1.53192631,1.915655745,3.74E-21
GADD45G,0.647351326,0.590326453,0.709884738,2.40E-20
PRKCB,0.647767817,0.59034006,0.710782094,4.84E-20
TOP2A,1.501472119,1.376039743,1.638338235,6.74E-20
KLHL4,1.59897776,1.444291657,1.770231009,1.54E-19
EZH2,1.861708657,1.625166542,2.13267935,3.12E-19
BMPR1A,0.376170846,0.303430107,0.466349587,4.77E-19
CDC25A,1.797932395,1.579984586,2.045944578,5.70E-19
ERBB2,2.072103964,1.762303082,2.436365731,1.17E-18
CCR2,1.437356008,1.325991457,1.558073607,1.17E-18
CLIC4,2.132579914,1.801464737,2.524555156,1.40E-18
CASP5,1.596060489,1.437269124,1.772395329,2.24E-18
MAPK8IP1,0.56118212,0.492658854,0.639236197,3.48E-18
ITGA2,1.626710289,1.457529621,1.815528361,3.82E-18
CTSS,1.72296846,1.523165384,1.948980949,5.10E-18
GRID2,0.78178142,0.738853369,0.82720363,1.30E-17
BID,0.431919933,0.356153531,0.523804519,1.45E-17
NFIL3,2.177365664,1.817248674,2.608845613,3.30E-17
NGFR,1.398090259,1.292555564,1.512241662,5.84E-17
NOD1,2.018240979,1.711878774,2.379430548,6.27E-17
LEF1,1.882856198,1.623122773,2.184152377,6.53E-17
HBQ1,0.618273884,0.552040984,0.69245329,9.02E-17
CYP2D6,0.644102602,0.579688206,0.715674663,2.78E-16
ADCYAP1R1,0.755227427,0.706071564,0.807805462,2.95E-16
PRKACA,4.359798408,3.052541988,6.226889666,5.67E-16
UROS,0.34771821,0.269251312,0.449052422,5.70E-16
TP73,1.355205156,1.258441513,1.459409116,8.84E-16
RIN2,0.442464984,0.36238537,0.540240523,1.20E-15
PYCARD,1.71779266,1.504086363,1.961863158,1.44E-15
ELANE,1.626223319,1.442462861,1.833393672,1.89E-15
TNFSF4,1.870665705,1.602890738,2.183174497,1.93E-15
PTK6,0.61403403,0.543566224,0.693637266,4.45E-15
S100PBP,3.209706376,2.394601261,4.302267433,6.10E-15
RELN,0.774785412,0.726666594,0.826090589,6.19E-15
SEMA6C,0.517927546,0.436837797,0.614069902,3.64E-14
BAG1,0.297031263,0.216914118,0.406739645,3.76E-14
PSMD6,5.647934415,3.602721432,8.854185304,4.44E-14
LAPTM5,1.654746154,1.451337196,1.886663444,5.23E-14
ACP5,1.347048616,1.246363215,1.455867721,5.64E-14
CASP9,0.436539725,0.350521432,0.543666988,1.33E-13
RND2,0.651291555,0.581350535,0.729647027,1.38E-13
UBB,2.120010117,1.735635018,2.589509228,1.81E-13
IL18,1.565210918,1.388981753,1.763799426,1.96E-13
PTGER3,0.724547562,0.664697043,0.789787129,2.39E-13
ADM2,1.380521899,1.265982414,1.505424318,2.94E-13
SNX10,1.471084918,1.325487736,1.63267511,3.90E-13
CYCS,2.425648519,1.902981091,3.091870311,8.28E-13
RECQL,1.896984124,1.588025219,2.266052657,1.68E-12
FPR1,1.385310565,1.265053908,1.516998881,2.00E-12
PDIA2,0.758111076,0.701794382,0.818946999,2.04E-12
PLIN3,2.173798178,1.74803976,2.703255742,2.92E-12
RPA1,4.230820934,2.813667587,6.361748581,4.19E-12
PML,2.538030481,1.948527401,3.305880493,4.97E-12
DLC1,1.775213343,1.505433462,2.093338892,8.85E-12
GAS1,1.459363811,1.308851838,1.627183973,1.00E-11
OXTR,1.344170652,1.234117601,1.464037739,1.15E-11
INPP5F,0.518781542,0.429167192,0.627108254,1.18E-11
FYN,0.447096564,0.354151135,0.564435118,1.29E-11
IL6,1.218511534,1.150745446,1.290268291,1.29E-11
RRM1,2.694881378,2.022460064,3.590867265,1.30E-11
HIST2H2BE,1.70199593,1.450012761,1.997768727,7.76E-11
IL1A,1.341479476,1.225783974,1.468094886,1.73E-10
SIX6,1.175141631,1.117825352,1.235396791,2.52E-10
KCNC2,0.840889791,0.796823328,0.887393248,2.79E-10
