id,HR,HR.95L,HR.95H,pvalue
IGFBP2|PSMD6,13.18319271,9.139159126,19.01669153,2.68E-43
CASP4|BMP2,14.60117321,9.974633512,21.37364332,2.92E-43
BMP2|WEE1,0.084409401,0.059309898,0.120130824,6.76E-43
IGFBP2|MAPK10,12.18553888,8.526372659,17.41506778,7.36E-43
IGFBP2|PHF21A,11.9145773,8.363369364,16.97367964,7.47E-43
IGFBP2|BAG1,11.69988958,8.232751787,16.6271764,8.12E-43
PLAT|DHTKD1,10.53071607,7.51902567,14.74871691,1.04E-42
IGFBP2|PSMC5,10.4710454,7.478361459,14.6613389,1.42E-42
IGFBP2|PSMF1,10.10861206,7.253726372,14.0871095,1.70E-42
PSMD14|IGFBP2,0.089224711,0.06304771,0.126270232,2.34E-42
IGFBP2|LARP4B,12.04896612,8.412625939,17.25710684,5.31E-42
IGFBP2|RIN2,11.1888273,7.894534739,15.85778776,5.87E-42
BMP2|RRM2,0.094317299,0.067018359,0.13273606,8.70E-42
RELN|TOM1L1,0.076898616,0.052953362,0.111671798,2.15E-41
IGFBP2|BCL2L1,9.919414142,7.102574716,13.85339554,2.58E-41
IGFBP2|PSMD3,9.813324568,7.037209106,13.68459252,2.67E-41
CDC5L|IGFBP2,0.089083139,0.062617411,0.126734808,3.32E-41
IGFBP2|NCOA4,9.506701916,6.844955787,13.20350111,3.67E-41
BID|IGFBP2,0.089489882,0.062930371,0.127258728,3.74E-41
SIRT1|ABCC3,0.106205192,0.076522928,0.147400825,5.41E-41
SIRT1|WEE1,0.089909243,0.063195695,0.127914914,6.75E-41
IGFBP2|RAP2A,9.71200239,6.961500981,13.54923179,7.72E-41
PRKACA|IGFBP2,0.10060388,0.071853229,0.140858535,8.59E-41
RPA1|IGFBP2,0.103364352,0.074091893,0.144201866,1.04E-40
PML|IGFBP2,0.089661515,0.062920251,0.127767883,1.25E-40
IGFBP2|PKP4,9.531406172,6.844038663,13.27399042,1.33E-40
S100A11|RIN2,9.516472406,6.834826484,13.25026279,1.33E-40
IGFBP2|INPP5F,11.20091521,7.854207601,15.9736676,1.34E-40
IGFBP2|DHTKD1,10.90293801,7.672191549,15.49414616,1.68E-40
PLCG1|IGFBP2,0.110676653,0.080051665,0.153017697,1.83E-40
IGFBP2|RAB13,10.63372462,7.508916003,15.05891121,1.85E-40
PIK3R3|IGFBP2,0.093495482,0.065927485,0.132591212,2.47E-40
MTDH|IGFBP2,0.106796828,0.076745189,0.148615992,3.57E-40
FASN|IGFBP2,0.093787808,0.066111944,0.133049378,3.68E-40
TNFRSF12A|LARP4B,10.29648198,7.293510192,14.53587344,4.27E-40
CTSB|RPL3,10.09869214,7.173196501,14.21731342,4.51E-40
ERCC5|PLAT,0.10720534,0.077008239,0.149243574,5.96E-40
ERCC5|IGFBP2,0.092831826,0.065265794,0.132040805,6.46E-40
IGFBP2|GCLC,10.66433108,7.507508346,15.14856224,7.04E-40
