Rank,Selection operator, Nindividual, Ngeneration,Nmg,Best_fitness,Selected basic learners
1,Roulette,50,50,10,0.0896,"m5, m13, m29, m39"
2,Roulette,50,80,30,0.0896,"m5, m13, m29, m39"
3,Rank,80,30,30,0.0897,"m5, m13, m29, m38, m39"
4,Roulette,50,50,30,0.0898,"m5, m13, m29"
5,Rank,80,50,30,0.0898,"m4, m8, m29"
6,Tournament,80,80,30,0.0899,"m5, m13, m32"
7,Rank,50,80,10,0.09,"m5, m13, m29, m32, m38, m39"
8,Rank,80,80,30,0.0901,"m29, m32, m38, m39"
9,Roulette,50,50,20,0.0902,"m5, m13, m27"
10,Roulette,80,50,10,0.0902,"m5, m13, m27"
11,Rank,30,50,20,0.0902,"m5, m10, m29, m32, m38, m39"
12,Rank,50,50,10,0.0902,"m5, m10, m29, m32, m38, m39"
13,Rank,50,80,30,0.0902,"m5, m10, m29, m32, m38, m39"
14,Rank,80,30,20,0.0902,"m5, m10, m29, m32, m38, m39"
15,Tournament,80,30,30,0.0902,"m18, m36"
16,Roulette,80,80,10,0.0903,"m5, m27"
17,Rank,30,50,30,0.0903,"m4, m10, m29"
18,Rank,30,80,30,0.0903,"m4, m10, m29"
19,Rank,80,80,10,0.0903,"m4, m10, m29"
20,Tournament,80,50,20,0.0903,"m13, m32"
21,Rank,80,80,20,0.0904,"m7, m13"
22,Roulette,30,50,30,0.0905,"m2, m27, m29"
23,Roulette,80,80,30,0.0905,"m2, m27, m29"
24,Roulette,30,80,20,0.0908,"m3, m27, m29"
25,Roulette,30,80,30,0.0908,"m3, m27, m29"
26,Roulette,50,30,20,0.0908,"m3, m27, m29"
27,Roulette,50,80,20,0.0908,"m20, m21"
28,Roulette,80,80,20,0.0909,"m20, m21"
29,Rank,30,50,10,0.0909,"m10, m29"
30,Roulette,30,50,10,0.091,"m5, m24, m28"
31,Roulette,30,80,10,0.091,"m5, m24, m28"
32,Rank,50,50,20,0.091,"m7, m13, m39"
33,Roulette,80,50,30,0.0911,"m9, m13, m34, m39"
34,Tournament,80,30,20,0.0911,"m9, m13, m34, m39"
35,Rank,50,30,30,0.0912,"m10, m29, m31"
36,Tournament,80,50,30,0.0912,"m13, m32, m35"
37,Tournament,80,80,10,0.0912,"m13, m32, m35"
38,Tournament,50,30,30,0.0913,"m13, m32, m35, m39"
39,Tournament,50,50,30,0.0913,"m13, m32, m35, m39"
40,Tournament,80,50,10,0.0913,"m13, m32, m35, m39"
41,Roulette,50,30,30,0.0914,"m16, m19, m34, m35"
42,Roulette,80,30,10,0.0914,"m16, m19, m34, m35"
43,Roulette,80,30,30,0.0914,"m16, m19, m34, m35"
44,Rank,50,50,30,0.0914,"m10, m19"
45,Rank,80,50,10,0.0914,"m10, m19"
46,Tournament,80,80,20,0.0914,"m10, m19"
47,Roulette,80,50,20,0.0915,"m5, m27, m32"
48,Rank,30,30,20,0.0915,"m5, m27, m32"
49,Roulette,30,30,20,0.0916,"m16, m20, m34, m35"
50,Roulette,80,30,20,0.0916,"m16, m20, m34, m35"
51,Rank,30,30,30,0.0916,"m12, m19"
52,Rank,30,80,10,0.0916,"m12, m19"
53,Tournament,30,80,10,0.0916,"m14, m23, m25"
54,Tournament,50,80,10,0.0916,"m14, m23, m25"
55,Tournament,50,80,20,0.0916,"m14, m23, m25"
56,Rank,80,30,10,0.0917,"m10, m13, m19, m35, m42"
57,Tournament,50,30,20,0.0917,"m10, m13, m19, m35, m42"
58,Tournament,50,80,30,0.0917,"m10, m13, m19, m35, m42"
59,Tournament,50,50,20,0.0918,"m11, m13, m27, m31, m35,  m42"
60,Rank,30,30,10,0.0919,"m35, m42"
61,Rank,30,80,20,0.092,"m15, m35, m42"
62,Tournament,30,80,30,0.092,"m3, m9, m38"
63,Tournament,50,50,10,0.0921,"m3, m9, m37"
64,Tournament,30,80,20,0.0922,"m3, m9, m31"
65,Rank,50,30,20,0.0923,"m1, m31"
66,Rank,80,50,20,0.0923,"m1, m31"
67,Roulette,50,30,10,0.0924,"m4, m10, m33"
68,Tournament,30,50,20,0.0924,"m4, m10, m33"
69,Tournament,50,30,10,0.0924,"m4, m10, m33"
70,Roulette,30,30,10,0.0925,"m4, m10, m40"
71,Roulette,30,30,30,0.0925,"m4, m10, m40"
72,Rank,50,30,10,0.0926,"m8, m18, m46"
73,Rank,50,80,20,0.0926,"m8, m18, m46"
74,Tournament,80,30,10,0.0926,"m8, m18, m46"
75,Tournament,30,50,30,0.0928,"m2, m17, m39"
76,Roulette,50,80,10,0.093,"m10, m40"
77,Tournament,30,30,30,0.0933,"m1, m23, m27, m37, m42"
78,Roulette,30,50,20,0.0934,"m9,m45"
79,Tournament,30,30,20,0.0935,"m19, m21, m27, m31, m37, m44"
80,Tournament,30,50,10,0.0936,"m19, m21, m29, m31, m37, m44"
81,Tournament,30,30,10,0.0945,"m19, m44"
,,,,,,
