ID,SUM(Pearson)
m38,35.99975195
m19,37.20591434
m40,37.29773247
m22,37.36191077
m39,37.41530959
m3,37.45863817
m32,37.53567171
m26,37.6317243
m24,37.8314288
m33,37.95806847
m25,37.96142281
m1,38.00845671
m44,38.06439073
m7,38.15960951
m9,38.16800754
m35,38.20480993
m20,38.33325527
m21,38.33737811
m41,38.40169422
m34,38.41011856
m36,38.47366895
m4,38.64845372
m15,38.70429147
m14,38.80175164
m17,38.88444761
m47,38.88740435
m18,38.91500281
m10,38.97746622
m12,38.99858125
m42,39.05286221
m13,39.16901951
m37,39.1837356
m46,39.19800831
m31,39.23446806
m5,39.268794
m16,39.44225762
m11,39.51691874
m8,39.57432366
m29,39.66850499
m6,39.80116312
m30,39.87839815
m2,39.91364855
m23,40.01360343
m28,40.01360864
m45,40.01506288
m43,40.03953825
m27,40.10770097
