id
CHAF1B|BMP2
CTSB|RPL3
LGALS8|CASP9
CASP4|GNL3L
BID|PCSK1
BID|BGN
BID|MSR1
BID|S100A9
IL2RG|PIGZ
RPL3|UBB
RPL3|S100B
CASP9|WEE1
CASP9|RRM2
CASP9|BRCA1
PLCG1|RAP2A
BMP2|CDC25A
BMP2|SNX10
ADCYAP1R1|TOP2A
BMPR1A|ATG7
ELN|PSMC5
SIRT1|NGFR
SIRT1|ABCC3
HSPB1|GLUD1
TNFSF14|CYP2D6
TNFRSF11B|LUM
ERCC5|PSMD5
GADD45G|FABP5
RPA1|S100A11
TOP3B|WEE1
TOP3B|FABP5
TOP3B|EFNB1
WEE1|NXPH3
MELK|CYP2E1
IGFBP2|PSMD6
IGFBP2|COL4A1
TOP2A|RAP2A
LGALS3|UROS
PSMC5|CHI3L2
BIRC5|PIGZ
TP73|PTK6
MSR1|BAG1
MSR1|NXPH3
SHANK2|HIST2H2BE
S100A11|RAB13
ITGB4|RIN2
RRM2|UROS
CTSS|PLIN3
TOM1L1|RUNX1T1
